Petition,URL,State,Signatures Count,petition_id,opened_date,debate_threshold_reached,scheduled_debate_date,closed_date
Review the rules on suspending SIA licenses,https://petition.parliament.uk/petitions/701587,closed,208,701587,2024-12-06,,,2025-06-06
Save the National Citizens Service,https://petition.parliament.uk/petitions/701592,closed,322,701592,2024-12-05,,,2025-06-05
"Introduce breeder licences, a dog database & harsher punishments for dog abuse",https://petition.parliament.uk/petitions/701598,closed,1348,701598,2024-12-05,,,2025-06-05
Repeal the Climate Change Act 2008 and Net Zero targets,https://petition.parliament.uk/petitions/701600,closed,21323,701600,2024-12-06,,,2025-06-06
Ban ground rent on all leasehold properties.,https://petition.parliament.uk/petitions/701602,closed,234,701602,2024-12-09,,,2025-06-09
Include Wales in the Union Flag,https://petition.parliament.uk/petitions/701611,closed,2576,701611,2025-01-23,,,2025-07-23
Extend consumer protection laws on fast food orders,https://petition.parliament.uk/petitions/701620,closed,43,701620,2025-01-15,,,2025-07-15
Create the Department of Government Efficiency,https://petition.parliament.uk/petitions/701630,closed,359,701630,2024-11-29,,,2025-05-29
Introduce scheme for reduced or free public transport fares,https://petition.parliament.uk/petitions/701647,closed,205,701647,2024-12-10,,,2025-06-10
Change the house purchasing process to protect sellers,https://petition.parliament.uk/petitions/701658,closed,52,701658,2024-12-05,,,2025-06-05
"Introduce the mandatory neutering of cats by 6 months of age.
",https://petition.parliament.uk/petitions/701661,closed,2110,701661,2024-12-06,,,2025-06-06
Legally require all secondary schools in England to teach financial education,https://petition.parliament.uk/petitions/701663,closed,7231,701663,2024-12-17,,,2025-06-17
Make it a legal requirement for individuals to report child sexual abuse,https://petition.parliament.uk/petitions/701669,closed,138,701669,2024-12-10,,,2025-06-10
Require e-bike riders to be licensed & regulated like mopeds,https://petition.parliament.uk/petitions/701672,closed,168,701672,2025-02-13,,,2025-08-13
Hold an inquiry before transferring the Chagos Islands to Mauritius,https://petition.parliament.uk/petitions/701675,closed,269,701675,2025-01-29,,,2025-07-29
Increase funding for Early years providers.,https://petition.parliament.uk/petitions/701693,closed,4649,701693,2024-12-06,,,2025-06-06
Declare a state of emergency to prioritise climate action,https://petition.parliament.uk/petitions/701700,closed,161,701700,2025-01-02,,,2025-07-02
Change laws around amendments on birth certificates,https://petition.parliament.uk/petitions/701702,closed,49,701702,2024-12-05,,,2025-06-05
Introduce regulations for Hairdressers and Barbers,https://petition.parliament.uk/petitions/701705,closed,338,701705,2024-12-05,,,2025-06-05
Review the Access to Work Scheme,https://petition.parliament.uk/petitions/701711,closed,1368,701711,2024-12-05,,,2025-06-05
Review the Vaccine Damage Payment Scheme,https://petition.parliament.uk/petitions/701729,closed,4140,701729,2024-12-09,,,2025-06-09
"Base university home fee status on visa application date, not arrival date",https://petition.parliament.uk/petitions/701732,closed,48,701732,2025-02-17,,,2025-08-17
Vote against the Assisted Dying Bill,https://petition.parliament.uk/petitions/701742,closed,720,701742,2024-12-12,,,2025-06-12
Fund a national checkup scheme at menopause in England,https://petition.parliament.uk/petitions/701751,closed,51,701751,2025-01-07,,,2025-07-07
Cap public electric vehicle (EV) charging station rates.,https://petition.parliament.uk/petitions/701754,closed,240,701754,2024-12-09,,,2025-06-09
Establish a statutory body to mediate disputes within the motor industry.,https://petition.parliament.uk/petitions/701759,closed,16,701759,2025-02-13,,,2025-08-13
"Introduce licences, number plates and insurance requirements for cyclists",https://petition.parliament.uk/petitions/701762,closed,276,701762,2024-12-18,,,2025-06-18
Review the rules on complaint escalation to Ombudsmen/ADR in all industries,https://petition.parliament.uk/petitions/701763,closed,19,701763,2025-02-04,,,2025-08-04
Fund Medicinal Reviews for Patients Prescribed Highly Addictive Drugs,https://petition.parliament.uk/petitions/701764,closed,57,701764,2024-12-20,,,2025-06-20
Create an ombudsman for online trading,https://petition.parliament.uk/petitions/701768,closed,27,701768,2025-02-04,,,2025-08-04
Change requirements for ILR for those who have graduated and worked for 3 years,https://petition.parliament.uk/petitions/701769,closed,14189,701769,2024-12-06,,,2025-06-06
Ban Variable Direct Debits,https://petition.parliament.uk/petitions/701772,closed,26,701772,2025-02-04,,,2025-08-04
Change the requirements of how often MPs attend a Parliamentary sitting.,https://petition.parliament.uk/petitions/701773,closed,602,701773,2024-12-16,,,2025-06-16
Make it a legal offence for a parent to be absent from their child's life. ,https://petition.parliament.uk/petitions/701777,closed,77,701777,2024-12-11,,,2025-06-11
Create a fast-track system for benefit claims for cancer patients,https://petition.parliament.uk/petitions/701780,closed,5124,701780,2024-12-20,,,2025-06-20
Ensure the NIHR dedicates at least 3% of annual funding to menopause research,https://petition.parliament.uk/petitions/701782,closed,520,701782,2024-12-23,,,2025-06-23
Allow employees to deduct living expenses from salary before it’s taxed.,https://petition.parliament.uk/petitions/701784,closed,948,701784,2024-12-06,,,2025-06-06
Review the enforcement policy guidance for LAs to protect mobile home owners.,https://petition.parliament.uk/petitions/701798,closed,1634,701798,2024-12-18,,,2025-06-18
Introduce a legal right to paid bereavement leave,https://petition.parliament.uk/petitions/701809,closed,3101,701809,2024-12-04,,,2025-06-04
Ban school uniforms,https://petition.parliament.uk/petitions/701824,closed,240,701824,2024-12-05,,,2025-06-05
Make Saint David's Day (Wales) and Saint George's Day (England) Bank Holidays,https://petition.parliament.uk/petitions/701833,closed,337,701833,2024-12-12,,,2025-06-12
Devolve The Crown Estate In Wales,https://petition.parliament.uk/petitions/701837,closed,1598,701837,2024-12-12,,,2025-06-12
We are petitioning for a National Referendum on Assisted Dying,https://petition.parliament.uk/petitions/701838,closed,11385,701838,2025-01-09,,,2025-07-09
Fund more counselling services specific to victims of sexual violence,https://petition.parliament.uk/petitions/701840,closed,98,701840,2024-12-10,,,2025-06-10
Require parliamentary scrutiny of any proposal to amend the Royal Mail USO,https://petition.parliament.uk/petitions/701850,closed,22922,701850,2024-12-23,,,2025-06-23
"Require rent increases to be based on inflation and salaries, freeze for 3 years",https://petition.parliament.uk/petitions/701852,closed,53,701852,2024-12-23,,,2025-06-23
Cap private dental charges,https://petition.parliament.uk/petitions/701866,closed,99,701866,2025-02-04,,,2025-08-04
Allow local authorities to use council tax to fund local NHS services,https://petition.parliament.uk/petitions/701868,closed,21,701868,2024-12-16,,,2025-06-16
Increase landowners rights against parking on their property without permission,https://petition.parliament.uk/petitions/701869,closed,70,701869,2025-02-13,,,2025-08-13
Make it a criminal offence for under 18s to vape or smoke,https://petition.parliament.uk/petitions/701870,closed,59,701870,2025-03-18,,,2025-09-18
Reverse Cadet Forces Funding Cuts by Min of Defence and the Dept of Education.,https://petition.parliament.uk/petitions/701884,closed,17098,701884,2024-12-12,,,2025-06-12
Stop members of the Government and Parliament from attending WEF meetings,https://petition.parliament.uk/petitions/701885,closed,1015,701885,2024-12-13,,,2025-06-13
Legally require unanimous jury verdicts for serious offences.,https://petition.parliament.uk/petitions/701886,closed,285,701886,2024-12-11,,,2025-06-11
Lower the age that someone can be considered a victim of domestic abuse,https://petition.parliament.uk/petitions/701895,closed,1416,701895,2025-02-04,,,2025-08-04
Fund more school places for autistic children without learning disabilities,https://petition.parliament.uk/petitions/701901,closed,358,701901,2024-12-17,,,2025-06-17
Review police pursuit rules to ensure proportionality and safety,https://petition.parliament.uk/petitions/701906,closed,163,701906,2024-12-23,,,2025-06-23
"Require car insurance companies to insure the car, not the driver",https://petition.parliament.uk/petitions/701913,closed,984,701913,2024-12-12,,,2025-06-12
Ban sunbed use due to health risks + the large cost to the NHS from skin cancers,https://petition.parliament.uk/petitions/701922,closed,173,701922,2025-01-09,,,2025-07-09
Review the Highways Act 1980 to allow safe EV charging cables across pavements,https://petition.parliament.uk/petitions/701923,closed,65,701923,2024-12-17,,,2025-06-17
Create a licence to ensure safe use of smart devices like phones,https://petition.parliament.uk/petitions/701924,closed,29,701924,2024-12-12,,,2025-06-12
Introduce stricter minimum penalties for acts of animal cruelty.,https://petition.parliament.uk/petitions/701925,closed,3470,701925,2024-12-11,,,2025-06-11
Make hedgehog highways mandatory on all new fencing.,https://petition.parliament.uk/petitions/701939,closed,770,701939,2025-03-24,,,2025-09-24
Institute a maximum cap for the interest rate on credit cards and personal loans,https://petition.parliament.uk/petitions/701945,closed,62,701945,2024-12-23,,,2025-06-23
UK Government to open talks with EU on rejoining Custom Union and Single Market,https://petition.parliament.uk/petitions/701946,closed,273,701946,2024-12-16,,,2025-06-16
Exempt Commonwealth soldiers from the Life in the UK test after 6yrs Service.,https://petition.parliament.uk/petitions/701953,closed,33,701953,2024-12-11,,,2025-06-11
Grant all asylum seekers the right to work,https://petition.parliament.uk/petitions/701958,closed,64,701958,2024-12-20,,,2025-06-20
Make all forms of 'geo-engineering' affecting the environment illegal,https://petition.parliament.uk/petitions/701963,closed,160632,701963,2024-12-23,2025-04-29,2025-06-23,2025-06-23
Introduce a cap for motorcycle insurance prices,https://petition.parliament.uk/petitions/701964,closed,63,701964,2025-01-23,,,2025-07-23
Require companies put political party logo on all products if they fund a party,https://petition.parliament.uk/petitions/701965,closed,83,701965,2024-12-13,,,2025-06-13
Offer injured veterans housing in surplus military accommodation,https://petition.parliament.uk/petitions/701966,closed,78,701966,2024-12-23,,,2025-06-23
Scrap the APD increase for essential regional flights and consider a reform,https://petition.parliament.uk/petitions/701971,closed,31,701971,2024-12-23,,,2025-06-23
Introduce a new tax code for emergency workers and armed forces,https://petition.parliament.uk/petitions/701972,closed,27,701972,2025-03-10,,,2025-09-10
Seek to secure trade deals with the US and Canada,https://petition.parliament.uk/petitions/701974,closed,54,701974,2024-12-30,,,2025-06-30
Create system for injured veterans to apply for disability benefits,https://petition.parliament.uk/petitions/701975,closed,51,701975,2024-12-23,,,2025-06-23
Require more time spent in physical education classes in primary schools,https://petition.parliament.uk/petitions/701976,closed,24,701976,2025-03-04,,,2025-09-04
Child against parent violence to be recognised as domestic abuse & more support,https://petition.parliament.uk/petitions/701997,closed,186,701997,2025-02-25,,,2025-08-25
Deploy the Royal Navy to help stop illegal immigrants entering the UK,https://petition.parliament.uk/petitions/701998,closed,1711,701998,2025-01-08,,,2025-07-08
Stop giving homework to primary and secondary school students,https://petition.parliament.uk/petitions/702003,closed,4621,702003,2024-12-13,,,2025-06-13
Scrap the Sugar tax on soft drinks,https://petition.parliament.uk/petitions/702008,closed,138,702008,2025-03-04,,,2025-09-04
Stop the permitted development right to extend upwards,https://petition.parliament.uk/petitions/702014,closed,55,702014,2024-12-17,,,2025-06-17
Require drivers to retake their driving test at age 60.,https://petition.parliament.uk/petitions/702017,closed,128,702017,2024-12-16,,,2025-06-16
Hold a national referendum on the UK’s diplomatic relationship with Israel.,https://petition.parliament.uk/petitions/702030,closed,474,702030,2025-01-03,,,2025-07-03
Fund improvements to secondary care community mental health services ,https://petition.parliament.uk/petitions/702031,closed,2900,702031,2024-12-19,,,2025-06-19
Make autism training mandatory for teachers in schools to help understanding,https://petition.parliament.uk/petitions/702034,closed,137,702034,2024-12-17,,,2025-06-17
"Standardise Women’s Titles as ""Ms"" and Eliminate Titles Based on Marital Status",https://petition.parliament.uk/petitions/702037,closed,99,702037,2024-12-20,,,2025-06-20
Ban Fur Imports into the UK,https://petition.parliament.uk/petitions/702043,closed,1186,702043,2024-12-23,,,2025-06-23
Make micro companies exempt from the employer national insurance increase,https://petition.parliament.uk/petitions/702058,closed,25,702058,2025-02-05,,,2025-08-05
Increase tariffs on all imports ,https://petition.parliament.uk/petitions/702062,closed,33,702062,2024-12-30,,,2025-06-30
Prohibit publishers irrevocably disabling video games they have already sold,https://petition.parliament.uk/petitions/702074,closed,189887,702074,2025-01-14,2025-07-02,2025-11-03,2025-07-14
Review and mandate DNA testing to end honey fraud and protect real producers.,https://petition.parliament.uk/petitions/702077,closed,844,702077,2025-01-10,,,2025-07-10
Conduct a review into the merits of co-operative exams,https://petition.parliament.uk/petitions/702078,closed,19,702078,2024-12-19,,,2025-06-19
Change the earliest days of ILR application from 28days to 180days before 5years,https://petition.parliament.uk/petitions/702086,closed,204,702086,2024-12-23,,,2025-06-23
"Reduce salary threshold of 38,700 for visa sponsorship requirements",https://petition.parliament.uk/petitions/702099,closed,428,702099,2024-12-20,,,2025-06-20
Expand the winter fuel allowance to other vulnerable people.,https://petition.parliament.uk/petitions/702104,closed,896,702104,2024-12-30,,,2025-06-30
We want a referendum on 7 changes to our voting system,https://petition.parliament.uk/petitions/702106,closed,57,702106,2025-03-06,,,2025-09-06
Change the drinking age in pubs to 14 and alcohol purchasing age in pubs to 16,https://petition.parliament.uk/petitions/702117,closed,89,702117,2024-12-19,,,2025-06-19
Ban horse racing,https://petition.parliament.uk/petitions/702124,closed,1229,702124,2024-12-20,,,2025-06-20
Review the prescribing and sale of topical corticosteroids,https://petition.parliament.uk/petitions/702135,closed,2106,702135,2025-01-08,,,2025-07-08
Review regulation around hysterectomies in private hospitals,https://petition.parliament.uk/petitions/702137,closed,1209,702137,2025-01-07,,,2025-07-07
Make teaching BSL mandatory in all schools,https://petition.parliament.uk/petitions/702139,closed,279,702139,2025-03-04,,,2025-09-04
Exemption from stamp duty changes if mortgage offers predate the Autumn budget,https://petition.parliament.uk/petitions/702150,closed,88,702150,2024-12-24,,,2025-06-24
Cabinet ministers to publish annual tax returns,https://petition.parliament.uk/petitions/702153,closed,83,702153,2024-12-18,,,2025-06-18
Referendum on whether to abolish the Welsh Parliament,https://petition.parliament.uk/petitions/702156,closed,1414,702156,2024-12-19,,,2025-06-19
Require licences to use air rifles ,https://petition.parliament.uk/petitions/702158,closed,187,702158,2024-12-18,,,2025-06-18
Set limits on the length of lane closures for roadworks,https://petition.parliament.uk/petitions/702161,closed,123,702161,2024-12-31,,,2025-06-30
Make children eligible for free childcare from the date of their 3rd birthday,https://petition.parliament.uk/petitions/702181,closed,46,702181,2025-02-07,,,2025-08-07
Launch a Government Review on protecting UK democracy and China,https://petition.parliament.uk/petitions/702194,closed,40,702194,2025-02-17,,,2025-08-17
Ensure needs of autistic people are met in any future pandemic response,https://petition.parliament.uk/petitions/702200,closed,506,702200,2024-12-20,,,2025-06-20
Introduce a Statutory Levy on Bookmakers to Fund Greyhound Welfare,https://petition.parliament.uk/petitions/702202,closed,4753,702202,2025-01-02,,,2025-07-02
Change fine rules so only one parent is charged for a child taken out of school,https://petition.parliament.uk/petitions/702206,closed,28,702206,2024-12-19,,,2025-06-19
Change election rules so that only people who live in the area can stand,https://petition.parliament.uk/petitions/702213,closed,134,702213,2024-12-20,,,2025-06-20
Boost the UK economy & reduce unemployment by reducing corporation tax,https://petition.parliament.uk/petitions/702224,closed,42,702224,2025-01-08,,,2025-07-08
Allow other religions to solemnise weddings ,https://petition.parliament.uk/petitions/702231,closed,25,702231,2024-12-20,,,2025-06-20
Change building regulations to enhance sustainability,https://petition.parliament.uk/petitions/702238,closed,98,702238,2024-12-19,,,2025-06-19
Ban websites from making people pay a fee to reject cookies,https://petition.parliament.uk/petitions/702245,closed,263,702245,2025-01-08,,,2025-07-08
Extend Right to Buy to Housing Association Residents.,https://petition.parliament.uk/petitions/702252,closed,93,702252,2024-12-09,,,2025-06-09
Increase funding for Endometriosis care and support,https://petition.parliament.uk/petitions/702256,closed,566,702256,2024-12-18,,,2025-06-18
Stop the roll out and use of trusted digital identity services,https://petition.parliament.uk/petitions/702263,closed,2228,702263,2024-12-19,,,2025-06-19
Don't introduce unique child identifier and increased home education regulation,https://petition.parliament.uk/petitions/702270,closed,10693,702270,2025-02-11,,,2025-08-11
Remove Sugary Foods from School Menus in England to Promote Children's Health.,https://petition.parliament.uk/petitions/702272,closed,165,702272,2024-12-09,,,2025-06-09
Reform university applications so students know their grades when applying.,https://petition.parliament.uk/petitions/702273,closed,36,702273,2024-12-09,,,2025-06-09
Provide funding to support Breast & Cervical Cancer Screening for Disabled Women,https://petition.parliament.uk/petitions/702277,closed,3294,702277,2025-01-20,,,2025-07-20
Allow migrants with settled status to vote in UK Parliament elections,https://petition.parliament.uk/petitions/702278,closed,45,702278,2024-12-19,,,2025-06-19
Make all types of animal snares illegal in England,https://petition.parliament.uk/petitions/702287,closed,331,702287,2024-12-23,,,2025-06-23
Make Daylight Saving Time Permanent in the UK,https://petition.parliament.uk/petitions/702292,closed,459,702292,2024-12-18,,,2025-06-18
Make parental alienation a criminal offence,https://petition.parliament.uk/petitions/702299,closed,691,702299,2025-02-05,,,2025-08-05
Review of Universal Credit and Job Centre Operations,https://petition.parliament.uk/petitions/702303,closed,339,702303,2024-12-27,,,2025-06-27
Ban Reselling Tickets for Above Face-Value and Dynamic Pricing,https://petition.parliament.uk/petitions/702304,closed,808,702304,2024-12-10,,,2025-06-10
Regulate funeral directors,https://petition.parliament.uk/petitions/702329,closed,54,702329,2025-03-14,,,2025-09-14
"Change the law, so that UK citizens can force an immediate General Election",https://petition.parliament.uk/petitions/702341,closed,20762,702341,2024-12-24,,,2025-06-24
Introduce a new benefit for university students,https://petition.parliament.uk/petitions/702349,closed,36,702349,2024-12-20,,,2025-06-20
Increase inheritance tax relief for businesses based on number of employees,https://petition.parliament.uk/petitions/702386,closed,22,702386,2025-01-03,,,2025-07-03
"Make onion, garlic and other alliums recognised allergens on food labels",https://petition.parliament.uk/petitions/702394,closed,56,702394,2025-01-22,,,2025-07-22
Increase child maintenance payments,https://petition.parliament.uk/petitions/702396,closed,51,702396,2024-12-20,,,2025-06-20
"Create a single, UK-wide exemption certificate for XL Bullies",https://petition.parliament.uk/petitions/702410,closed,113,702410,2025-03-18,,,2025-09-18
Review quality of school food,https://petition.parliament.uk/petitions/702413,closed,49,702413,2024-12-20,,,2025-06-20
Review the Legal Expense Insurance industry,https://petition.parliament.uk/petitions/702420,closed,18,702420,2025-01-23,,,2025-07-23
Enact measures to combat knife crime,https://petition.parliament.uk/petitions/702424,closed,40254,702424,2024-12-20,,,2025-06-20
Mandate drivers attach plates displaying their penalty points on their vehicle,https://petition.parliament.uk/petitions/702425,closed,38,702425,2025-02-03,,,2025-08-03
Amend the Equality Act 2010 to include professions in protected characteristics,https://petition.parliament.uk/petitions/702437,closed,88,702437,2024-12-20,,,2025-06-20
Require existing homes to meet new electrical regulations,https://petition.parliament.uk/petitions/702438,closed,15,702438,2025-03-27,,,2025-09-27
Place a ban on party whips in Parliament,https://petition.parliament.uk/petitions/702444,closed,163,702444,2024-12-11,,,2025-06-11
Require coercive control awareness training for some sectors,https://petition.parliament.uk/petitions/702449,closed,661,702449,2024-12-19,,,2025-06-19
Implement a strategy to protect motorcyclists from imports of unsafe clothing,https://petition.parliament.uk/petitions/702450,closed,7155,702450,2025-01-06,,,2025-07-06
Household products to display environmental impact ratings.,https://petition.parliament.uk/petitions/702452,closed,89,702452,2025-02-21,,,2025-08-21
Allow conjugal visits for prisoners in England and Wales,https://petition.parliament.uk/petitions/702458,closed,1948,702458,2024-12-19,,,2025-06-19
Allow Ukrainians who are disabled to apply for immediate ILR,https://petition.parliament.uk/petitions/702461,closed,129,702461,2024-12-24,,,2025-06-24
Allow Visa applicants to pay health surcharge in instalments ,https://petition.parliament.uk/petitions/702465,closed,2969,702465,2024-12-19,,,2025-06-19
Take action to prevent UK supplied missiles being fired into Russia,https://petition.parliament.uk/petitions/702468,closed,77,702468,2025-01-09,,,2025-07-09
Deduct private health care charges from NI contributions.,https://petition.parliament.uk/petitions/702473,closed,26,702473,2025-02-05,,,2025-08-05
"Introduce differentiated energy pricing, tax breaks and a Transition Energy Fund",https://petition.parliament.uk/petitions/702479,closed,35,702479,2025-02-13,,,2025-08-13
Hold a referendum on continued UK support for Ukraine,https://petition.parliament.uk/petitions/702489,closed,160,702489,2025-01-13,,,2025-07-13
Negotiate with EU to end the 90 day limit on staying in Schengen area countries,https://petition.parliament.uk/petitions/702491,closed,158,702491,2024-12-19,,,2025-06-19
Require food and drink companies to use Nutri-Score on their packaging,https://petition.parliament.uk/petitions/702492,closed,34,702492,2024-12-20,,,2025-06-20
Automatically disclose a violent offender’s history to a partner,https://petition.parliament.uk/petitions/702498,closed,86,702498,2025-03-05,,,2025-09-05
"Fund a new COPD strategy, including psychological interventions",https://petition.parliament.uk/petitions/702505,closed,51,702505,2024-12-20,,,2025-06-20
Stop sending military aid to Ukraine,https://petition.parliament.uk/petitions/702525,closed,621,702525,2025-01-24,,,2025-07-24
Change the legal driving age to 16,https://petition.parliament.uk/petitions/702531,closed,61,702531,2024-12-20,,,2025-06-20
Lift restrictions on prescribing puberty blockers to trans children.,https://petition.parliament.uk/petitions/702538,closed,14272,702538,2025-02-05,,,2025-08-05
"Remove visa requirement: Albania, Kosovo, Montenegro, North Macedonia, Serbia",https://petition.parliament.uk/petitions/702539,closed,97,702539,2024-12-20,,,2025-06-20
A commission to investigate the feasibility & introduction of a Land Value Tax,https://petition.parliament.uk/petitions/702551,closed,252,702551,2024-12-30,,,2025-06-30
Ban the sale of cut-down Christmas trees,https://petition.parliament.uk/petitions/702600,closed,34,702600,2025-01-07,,,2025-07-07
Require all products to show origin of production.,https://petition.parliament.uk/petitions/702605,closed,80,702605,2024-12-23,,,2025-06-23
Increase the statutory paternity leave allowance for fathers of multiple births,https://petition.parliament.uk/petitions/702606,closed,229,702606,2024-12-30,,,2025-06-30
Change building regulations to ensure more women's toilets in public buildings,https://petition.parliament.uk/petitions/702612,closed,58,702612,2024-12-24,,,2025-06-24
Review the child maintenance service,https://petition.parliament.uk/petitions/702615,closed,746,702615,2025-01-14,,,2025-07-14
Launch a review into increasing speed limits on motorways and dual carriageways ,https://petition.parliament.uk/petitions/702636,closed,86,702636,2025-01-15,,,2025-07-15
Seek to start peace talks between Russia and Ukraine,https://petition.parliament.uk/petitions/702643,closed,89,702643,2025-01-23,,,2025-07-23
"Replace the House of Lords with a new, half-elected, term-limited upper house",https://petition.parliament.uk/petitions/702648,closed,107,702648,2025-01-23,,,2025-07-23
Allow driving motorcycles up to 125cc without CBT on category B driving licence,https://petition.parliament.uk/petitions/702649,closed,97,702649,2025-01-20,,,2025-07-20
Change Universal Credit maximum holiday allowance,https://petition.parliament.uk/petitions/702674,closed,30,702674,2024-12-23,,,2025-06-23
Strengthen suitable environment criteria for dogs under animal welfare act,https://petition.parliament.uk/petitions/702676,closed,857,702676,2024-12-23,,,2025-06-23
Save Our High Streets Fairness for Small Businesses protect tenants from (PDRs),https://petition.parliament.uk/petitions/702677,closed,98,702677,2024-12-23,,,2025-06-23
Ban male chick culling in egg production,https://petition.parliament.uk/petitions/702689,closed,151,702689,2025-01-15,,,2025-07-15
Review decision to cede sovereignty of the Chagos Islands to Mauritius,https://petition.parliament.uk/petitions/702712,closed,17648,702712,2024-12-30,,,2025-06-30
Review process for booking driving tests and ban the resale at inflated prices,https://petition.parliament.uk/petitions/702760,closed,11762,702760,2025-01-09,,,2025-07-09
Divert 15% of BBC licence fee income instead of the budget's taxes on farms,https://petition.parliament.uk/petitions/702779,closed,41,702779,2025-01-21,,,2025-07-21
Require Plant-Based Food Options to be the Default in Public Institutions.,https://petition.parliament.uk/petitions/702786,closed,87,702786,2024-12-20,,,2025-06-20
Review the system of expenses and allowances for MPs,https://petition.parliament.uk/petitions/702821,closed,955,702821,2024-12-24,,,2025-06-24
Reduce funds directed towards migrant support by 70%,https://petition.parliament.uk/petitions/702843,closed,619,702843,2024-12-20,,,2025-06-20
"Raise the income tax personal allowance from £12,570 to £20,000 ",https://petition.parliament.uk/petitions/702844,closed,281794,702844,2024-12-20,2025-02-10,2025-05-12,2025-06-20
Extend free bus travel for people over 60 in England,https://petition.parliament.uk/petitions/702845,closed,101204,702845,2024-12-27,2025-06-26,2026-01-05,2025-06-27
Ban plastic food covers such as cling film,https://petition.parliament.uk/petitions/702851,closed,163,702851,2024-12-31,,,2025-06-30
Protect Free Speech in Public: Amend the Public Order Act 1986,https://petition.parliament.uk/petitions/702852,closed,153,702852,2025-01-24,,,2025-07-24
Introduce maintenance payments from third parties that contribute to divorce.,https://petition.parliament.uk/petitions/702900,closed,109,702900,2025-02-21,,,2025-08-21
Remove illegal immigrants from UK hotels and set up temporary camping sites,https://petition.parliament.uk/petitions/702908,closed,3555,702908,2024-12-17,,,2025-06-17
Reduce VAT for hospitality businesses,https://petition.parliament.uk/petitions/702928,closed,76,702928,2024-12-24,,,2025-06-24
Improve the family court system by abolishing Cafcass completely,https://petition.parliament.uk/petitions/702940,closed,58,702940,2025-01-07,,,2025-07-07
Reform the Dangerous Dogs Act (DDA) 1991: keep the public safe,https://petition.parliament.uk/petitions/702953,closed,1498,702953,2024-12-20,,,2025-06-20
Amend Children Act 1989 to presume grandchild-grandparent contact,https://petition.parliament.uk/petitions/702972,closed,493,702972,2025-01-27,,,2025-07-27
"Reduce corporation tax for small businesses with profits under £50,000 to 13%",https://petition.parliament.uk/petitions/702979,closed,52,702979,2024-12-24,,,2025-06-24
Do Not Call a General Election,https://petition.parliament.uk/petitions/703000,closed,73,703000,2024-12-19,,,2025-06-19
Put British companies first: only tender government contracts to UK companies,https://petition.parliament.uk/petitions/703010,closed,204,703010,2024-12-24,,,2025-06-24
Provide tax refund for work commute expenses,https://petition.parliament.uk/petitions/703034,closed,84,703034,2024-12-24,,,2025-06-24
Cap car insurance prices,https://petition.parliament.uk/petitions/703058,closed,171,703058,2025-01-08,,,2025-07-08
Require all civil servants to work in the office 5 days a week,https://petition.parliament.uk/petitions/703090,closed,99,703090,2024-12-20,,,2025-06-20
To give more funding to Uniformed Youth Organisations to support young people.,https://petition.parliament.uk/petitions/703115,closed,42,703115,2024-12-20,,,2025-06-20
Independent Third-Party to handle and store NHS Health Records,https://petition.parliament.uk/petitions/703120,closed,46,703120,2024-12-20,,,2025-06-20
Make it illegal to smoke on hospital grounds,https://petition.parliament.uk/petitions/703125,closed,117,703125,2025-01-03,,,2025-07-03
"Require news outlets to publish clear, accurate headlines",https://petition.parliament.uk/petitions/703126,closed,70,703126,2025-01-06,,,2025-07-06
Repeal the vagrancy act of 1824 & introduce “leave no trace laws”,https://petition.parliament.uk/petitions/703142,closed,139,703142,2024-12-24,,,2025-06-24
Don’t consider bonus or overtime payments when calculating universal credit,https://petition.parliament.uk/petitions/703143,closed,90,703143,2024-12-24,,,2025-06-24
Require schools to allow students to wear their own clothes at least once a week,https://petition.parliament.uk/petitions/703155,closed,27,703155,2025-01-06,,,2025-07-06
Reverse April 2024 COS Restrictions for Ofsted Regulated Care Workers,https://petition.parliament.uk/petitions/703185,closed,51,703185,2024-12-20,,,2025-06-20
Deport all immigrants that arrive illegally from safe countries,https://petition.parliament.uk/petitions/703195,closed,7875,703195,2025-01-07,,,2025-07-07
"Improve benefits for veterans
",https://petition.parliament.uk/petitions/703200,closed,81,703200,2024-12-20,,,2025-06-20
Introduce Transport Discounts for Students based on their academic grades,https://petition.parliament.uk/petitions/703207,closed,16,703207,2025-01-06,,,2025-07-06
Review the monarch's powers to include crisis resolution,https://petition.parliament.uk/petitions/703209,closed,49,703209,2025-01-31,,,2025-07-31
Create a scheme to create employment opportunities for homeless people ,https://petition.parliament.uk/petitions/703217,closed,66,703217,2024-12-20,,,2025-06-20
Re-Recognise Somaliland as an Independent State,https://petition.parliament.uk/petitions/703233,closed,93,703233,2025-01-14,,,2025-07-14
Cap cost of food and pet food prices,https://petition.parliament.uk/petitions/703239,closed,119,703239,2025-01-07,,,2025-07-07
Provide free school meals to all school children,https://petition.parliament.uk/petitions/703256,closed,178,703256,2025-01-06,,,2025-07-06
Restrict the right to a Postal Vote to certain groups,https://petition.parliament.uk/petitions/703269,closed,89,703269,2025-01-23,,,2025-07-23
Ban large solar schemes on farmland/open countryside and promote solar on roofs,https://petition.parliament.uk/petitions/703284,closed,27297,703284,2025-01-27,,,2025-07-27
Require clothes labels to show the retailer the clothes were made for,https://petition.parliament.uk/petitions/703312,closed,52,703312,2024-12-20,,,2025-06-20
Reform the General Election System to Allow Direct Voting for Political Parties,https://petition.parliament.uk/petitions/703323,closed,52,703323,2025-02-25,,,2025-08-25
