Petition,URL,State,Signatures Count,petition_id,opened_date,debate_threshold_reached,scheduled_debate_date,closed_date
Fund all secondary schools to have metal detectors,https://petition.parliament.uk/petitions/714842,closed,74,714842,2025-03-14,,,2025-09-14
Increase the minimum sentence for the possession and use of a knife,https://petition.parliament.uk/petitions/714854,closed,81,714854,2025-03-14,,,2025-09-14
Fund airport-style security for all schools to screen students for drugs,https://petition.parliament.uk/petitions/714857,closed,20,714857,2025-03-13,,,2025-09-13
Require all household knives to have blunt ends,https://petition.parliament.uk/petitions/714865,closed,145,714865,2025-03-12,,,2025-09-12
Petition for Home Office to Add Residence number /  to Evisa,https://petition.parliament.uk/petitions/714882,closed,20,714882,2025-03-20,,,2025-09-20
"Ban the sale of knives, crossbows and other weapons online",https://petition.parliament.uk/petitions/714887,closed,282,714887,2025-03-13,,,2025-09-13
Introduce national service for 16-year-olds who have serious criminal records,https://petition.parliament.uk/petitions/714896,closed,81,714896,2025-03-17,,,2025-09-17
Distinguish pets from other types of property in civil and family proceedings,https://petition.parliament.uk/petitions/714902,closed,5147,714902,2025-03-27,,,2025-09-27
Grant free British citizenship to Europeans with settled status,https://petition.parliament.uk/petitions/714914,closed,3429,714914,2025-03-28,,,2025-09-28
Review how NS&I contact Premium Bond prize winners,https://petition.parliament.uk/petitions/714919,closed,369,714919,2025-03-20,,,2025-09-20
Change cold weather payments so it's a daily payment,https://petition.parliament.uk/petitions/714920,closed,26,714920,2025-03-28,,,2025-09-28
Fund school dentists for every school,https://petition.parliament.uk/petitions/714925,closed,68,714925,2025-03-13,,,2025-09-13
Stop airport expansion: halt all airport expansion plans across the UK,https://petition.parliament.uk/petitions/714927,closed,10998,714927,2025-03-24,,,2025-09-24
Require all businesses to have environmental sustainability plans by 2030,https://petition.parliament.uk/petitions/714961,closed,37,714961,2025-03-19,,,2025-09-19
Name people under 18 who are found guilty of murder,https://petition.parliament.uk/petitions/714967,closed,79,714967,2025-03-19,,,2025-09-19
Stop bookmakers from banning or restricting customers,https://petition.parliament.uk/petitions/714988,closed,296,714988,2025-03-17,,,2025-09-17
Fund improvements for young people with SEND who visit GP surgeries,https://petition.parliament.uk/petitions/714990,closed,139,714990,2025-03-14,,,2025-09-14
Introduce military service sentences for carrying a bladed weapon,https://petition.parliament.uk/petitions/714998,closed,43,714998,2025-03-18,,,2025-09-18
Implement a ‘Statutory Dependents Pay’ for being off with your sick child,https://petition.parliament.uk/petitions/715000,closed,181,715000,2025-03-14,,,2025-09-14
"Make ""ghost jobs"" illegal",https://petition.parliament.uk/petitions/715006,closed,329,715006,2025-03-14,,,2025-09-14
 Increase funding to combat violence against women and girls in the UK & abroad,https://petition.parliament.uk/petitions/715036,closed,88,715036,2025-03-18,,,2025-09-18
Stop all non-British citizens from voting in elections,https://petition.parliament.uk/petitions/715041,closed,595,715041,2025-03-14,,,2025-09-14
Hold parents legally accountable for their children’s actions,https://petition.parliament.uk/petitions/715047,closed,61,715047,2025-03-17,,,2025-09-17
Provide funding for schools to hire a security guard to protect our children,https://petition.parliament.uk/petitions/715050,closed,42,715050,2025-03-18,,,2025-09-18
More direct communication between the NHS and the Government & Parliament,https://petition.parliament.uk/petitions/715059,closed,113,715059,2025-03-26,,,2025-09-26
Ban adoption when birth parents are alive,https://petition.parliament.uk/petitions/715062,closed,28,715062,2025-03-21,,,2025-09-21
Give small hospitality businesses 10% VAT relief,https://petition.parliament.uk/petitions/715075,closed,79,715075,2025-03-14,,,2025-09-14
Introduce whole life tariffs for under 18s who commit murder,https://petition.parliament.uk/petitions/715078,closed,149,715078,2025-03-13,,,2025-09-13
Reopen BNO applications for those born before 1997,https://petition.parliament.uk/petitions/715091,closed,548,715091,2025-04-03,,,2025-10-03
Lower the apprenticeship age to 14,https://petition.parliament.uk/petitions/715096,closed,63,715096,2025-04-28,,,2025-10-28
Require police to keep their body worn cameras on when dealing with people,https://petition.parliament.uk/petitions/715134,closed,48,715134,2025-03-13,,,2025-09-13
Make the carrying of ID cards mandatory,https://petition.parliament.uk/petitions/715184,closed,115,715184,2025-03-17,,,2025-09-17
Fund more shingles vaccines. Make it available for those age 60+,https://petition.parliament.uk/petitions/715203,closed,31,715203,2025-03-31,,,2025-09-30
Cease UK-Iraq trade and investment if child marriage is permitted in Iraq,https://petition.parliament.uk/petitions/715206,closed,58,715206,2025-03-18,,,2025-09-18
Provide funding to increase police presence on the streets,https://petition.parliament.uk/petitions/715220,closed,229,715220,2025-03-18,,,2025-09-18
Raise statutory maternity/paternity pay to match the National Living Wage,https://petition.parliament.uk/petitions/715292,closed,107966,715292,2025-03-18,2025-07-03,2025-10-27,2025-09-18
"Regulate the keeping and breeding of all foxes, both native and non-native",https://petition.parliament.uk/petitions/715344,closed,70,715344,2025-04-01,,,2025-10-01
Repeal the Public Order Act 2023,https://petition.parliament.uk/petitions/715427,closed,1981,715427,2025-03-20,,,2025-09-20
Review how cases involving domestic violence are assigned to court location,https://petition.parliament.uk/petitions/715444,closed,34,715444,2025-03-25,,,2025-09-25
Re-join the Erasmus+ programme for UK students,https://petition.parliament.uk/petitions/715457,closed,305,715457,2025-03-17,,,2025-09-17
Ban the videoing of attacks being shared online,https://petition.parliament.uk/petitions/715470,closed,49,715470,2025-03-24,,,2025-09-24
Lower the age of criminal responsibility to stop gang culture and ASB,https://petition.parliament.uk/petitions/715473,closed,67,715473,2025-03-19,,,2025-09-19
Make it illegal for haulage companies to send HGVs into red weather warnings,https://petition.parliament.uk/petitions/715483,closed,104,715483,2025-03-18,,,2025-09-18
Grant the vote for London Mayor to all UK Residents,https://petition.parliament.uk/petitions/715511,closed,70907,715511,2025-05-09,,,2025-11-09
Pause and review the smart meter rollout,https://petition.parliament.uk/petitions/715512,closed,136,715512,2025-04-02,,,2025-10-02
Allocate annual funding to accelerate breakthroughs in MND research ,https://petition.parliament.uk/petitions/715520,closed,4848,715520,2025-03-25,,,2025-09-25
Require pickup of packaging boxes by companies making repeat deliveries,https://petition.parliament.uk/petitions/715546,closed,174,715546,2025-03-18,,,2025-09-18
Allow Gluten-Free applicants to join the British Army,https://petition.parliament.uk/petitions/715555,closed,58,715555,2025-03-18,,,2025-09-18
