"Petition","URL","State","Signatures Count"
"Ban In-Contract Price Hikes—Honour Fixed Full Contract Deals, Despite Inflation","https://petition.parliament.uk/petitions/729185","open",58
"Do not release convicted domestic abusers early because of overcrowded prisons","https://petition.parliament.uk/petitions/729192","open",59
"Require AI companies to publish their training data","https://petition.parliament.uk/petitions/729195","open",59
"Hold a referendum on leaving the European Court of Human Rights","https://petition.parliament.uk/petitions/729212","open",11477
"Exempt 10+ year UK residents/taxpayers from the Life in the UK Test","https://petition.parliament.uk/petitions/729228","open",38
"Deport all illegal migrants in the United Kingdom","https://petition.parliament.uk/petitions/729231","open",16001
"Stop HMRC implementing making tax digital and enforcing quarterly submissions","https://petition.parliament.uk/petitions/729235","open",19989
"Remove VAT on all school uniform up to age 18","https://petition.parliament.uk/petitions/729243","open",483
"Hold tour operators accountable for the safety of accommodation provided","https://petition.parliament.uk/petitions/729245","open",79
"Remove parental responsibility from people convicted of DV with 10+ yr sentence","https://petition.parliament.uk/petitions/729258","open",447
"Create a new, separate role of Police and Crime Commissioner for London","https://petition.parliament.uk/petitions/729259","open",67
"Require Government lecterns to always display the Coat of Arms","https://petition.parliament.uk/petitions/729272","open",21
"Fund safe baby boxes for surrendering babies, for mothers & babies in need","https://petition.parliament.uk/petitions/729274","open",50
"Fund a Children & Young People’s Cancer Diagnosis Awareness Campaign","https://petition.parliament.uk/petitions/729287","open",448
"Fund more financial support for legal guardians of children and young people","https://petition.parliament.uk/petitions/729297","open",107
"Require internet providers to provide equal Internet Access for All Communities","https://petition.parliament.uk/petitions/729299","open",73
"Require all employers and schools to grant 3 days' holiday for Eid celebrations","https://petition.parliament.uk/petitions/729307","open",69
"Change England’s disabled bus pass so it can be used at any time on weekdays","https://petition.parliament.uk/petitions/729326","open",932
"New policies on deporting legal and illegal migrants & full ECHR withdrawal","https://petition.parliament.uk/petitions/729333","open",2515
"Seek free movement agreement with Australia, Canada & New Zealand","https://petition.parliament.uk/petitions/729351","open",218
"Require galleries segregate artists' sale proceeds, protect them from insolvency","https://petition.parliament.uk/petitions/729356","open",205
"Raise the VAT threshold to £250,000 for small businesses","https://petition.parliament.uk/petitions/729362","open",107
"Do not change Access to Work scheme","https://petition.parliament.uk/petitions/729364","open",67
"Ban political parties from accepting party donations through cryptocurrency","https://petition.parliament.uk/petitions/729369","open",70
"Create a bank holiday on 12 July 2027 to celebrate the unification of England","https://petition.parliament.uk/petitions/729375","open",309
"Seek to join the European Economic Area","https://petition.parliament.uk/petitions/729377","open",52
"Fund healthcare framework and pathways for adults with Cerebral Palsy","https://petition.parliament.uk/petitions/729390","open",457
"Review & transition voting to secure, encrypted, decentralized ledger technology","https://petition.parliament.uk/petitions/729408","open",37
"Require public sector funds to fully divest from the fossil fuel industry","https://petition.parliament.uk/petitions/729412","open",66
"No tax or national insurance on overtime for emergency service workers","https://petition.parliament.uk/petitions/729428","open",7832
"Require cyclists to wear helmets in cities by law","https://petition.parliament.uk/petitions/729430","open",73
"Halt the new vaping duty tax, help protect small British businesses & consumers","https://petition.parliament.uk/petitions/729435","open",1758
"Make Play and Continuous Provision statutory in England's Key Stage 1 Curriculum","https://petition.parliament.uk/petitions/729440","open",105990
"Create a statutory body to oversee university academic appeals","https://petition.parliament.uk/petitions/729450","open",17
"Forced adoption inquiry & review adoption process/contact with birth families","https://petition.parliament.uk/petitions/729452","open",44
"Require neurodiversity education for children in schools","https://petition.parliament.uk/petitions/729455","open",348
"Keep the 2 child benefit cap","https://petition.parliament.uk/petitions/729459","open",7727
"Transparency and Review of the free zones and ports impacts","https://petition.parliament.uk/petitions/729478","open",10486
"Consult on and negotiate a youth mobility scheme with the EU","https://petition.parliament.uk/petitions/729480","open",433
"Close the Borders! Suspend ALL immigration for 5 years!","https://petition.parliament.uk/petitions/729482","open",7336
"Review Shared Ownership Salary Cap","https://petition.parliament.uk/petitions/729487","open",23
"Ban courier companies leaving parcels outside doors & fines for poor quality","https://petition.parliament.uk/petitions/729535","open",46
"Donate a small number of retired jets to Ukraine","https://petition.parliament.uk/petitions/729541","open",75
"Ban the use of pesticides in children’s playgrounds and in schools in England","https://petition.parliament.uk/petitions/729555","open",269
"Fund full clinical trials naltrexone to treat cancer","https://petition.parliament.uk/petitions/729564","open",1689
"Require all dog groomers to have formal qualifications","https://petition.parliament.uk/petitions/729581","open",25
"Make it an offence for a person's dog to kill another pet and prosecute owners","https://petition.parliament.uk/petitions/729597","open",61575
"Review the DVLA (Driver & Vehicle Licensing Agency), including digitalisation","https://petition.parliament.uk/petitions/729604","open",528
"Fund/establish free virtual school for those unable to attend mainstream school","https://petition.parliament.uk/petitions/729623","open",32
"Apply proposed changes to the ILR qualifying period to those already here","https://petition.parliament.uk/petitions/729635","open",1959
"Review & regulate weight loss and health journey content on social media","https://petition.parliament.uk/petitions/729654","open",700
"New Right to Buy discounts, social housing replacement and stricter resale rules","https://petition.parliament.uk/petitions/729656","open",96
"Review the medicines regulator and yellow card system to put the patient first","https://petition.parliament.uk/petitions/729668","open",113
"Do not use any taxpayer funds on asylum appeals. Charge the individual","https://petition.parliament.uk/petitions/729670","open",380
"Reinstate funding for all Level 7 solicitor apprenticeships","https://petition.parliament.uk/petitions/729675","open",18
"Create pathway for Afghans due to be resettled in the US to seek asylum in UK","https://petition.parliament.uk/petitions/729677","open",24
"Fund Rent payments for Working Care Leavers in Supported Accommodation","https://petition.parliament.uk/petitions/729679","open",223
"Change State Pension Eligibility Age For Builders And Groundworkers","https://petition.parliament.uk/petitions/729690","open",32
"Ban the non-stun slaughter of animals","https://petition.parliament.uk/petitions/729708","open",1138
"Tax small food businesses on sales after delivery platform deductions","https://petition.parliament.uk/petitions/729714","open",54
"Stop all armaments exports to Israel","https://petition.parliament.uk/petitions/729717","open",514
"Require schools to use world maps that reflect a country/continents true size","https://petition.parliament.uk/petitions/729778","open",27
"Clarify the legal definition of “adjacent to a highway” in planning law","https://petition.parliament.uk/petitions/729779","open",24
"Fund programme to humanely relocate seals found in rivers","https://petition.parliament.uk/petitions/729782","open",190
"Legalise E-Scooters for disabled people who are able to use them","https://petition.parliament.uk/petitions/729792","open",43
"Lower sponsorship costs and requirements for skilled immigrant workers in the UK","https://petition.parliament.uk/petitions/729798","open",36
"Full public funding for Level 7 Apprenticeships for people aged 22+","https://petition.parliament.uk/petitions/729844","open",46
"Send flotilla of ships with aid to break Israel’s blockade","https://petition.parliament.uk/petitions/729861","open",590
"Independent Body to deal with misconduct in Public Services & training","https://petition.parliament.uk/petitions/729869","open",236
"Make provision for a Global BBC licence fee","https://petition.parliament.uk/petitions/729873","open",32
"Fund an integrated program: Sleeping pods for the Homeless by the Homeless","https://petition.parliament.uk/petitions/729879","open",64
"All UK homeless citizens should be prioritised for hotel accommodation","https://petition.parliament.uk/petitions/729887","open",261
"Cyclists to be licenced, registered to be on the road and have insurance","https://petition.parliament.uk/petitions/729915","open",309
"Ban plea deals in serious sexual offence cases against children & the vulnerable","https://petition.parliament.uk/petitions/729926","open",2022
"Ban bottom trawling in all UK waters & ratify UN High Seas Treaty","https://petition.parliament.uk/petitions/729945","open",617
"Review the NHS decision to make smear testing every 5 years if HPV negative ","https://petition.parliament.uk/petitions/729981","open",1148
"Mandate that murderers start their sentences in category A prisons","https://petition.parliament.uk/petitions/729988","open",2955
"Fund cervical screening every 3 yrs or more frequently, lower minimum age to 18","https://petition.parliament.uk/petitions/730008","open",224
"Hold a referendum on stopping immigration into the UK for 30 years","https://petition.parliament.uk/petitions/730009","open",2129
"Fund and require routine cervical screening every 2 yrs","https://petition.parliament.uk/petitions/730019","open",262
"Create a rising tax rate system, to set a maximum income level.","https://petition.parliament.uk/petitions/730021","open",65
"Change priority for social housing guidance to make all veterans eligible","https://petition.parliament.uk/petitions/730057","open",102
"Fund a National Climate Resilience Plan: protect communities from climate impact","https://petition.parliament.uk/petitions/730062","open",9980
"Add intersex to the Equality Act as a protected characteristic","https://petition.parliament.uk/petitions/730075","open",1238
"Ban churches from being given a use as another religious building","https://petition.parliament.uk/petitions/730085","open",792
"Set fixed prices that councils can charge for burials and ban leasehold plots","https://petition.parliament.uk/petitions/730091","open",30
"Review how police deal with counter-allegations in domestic abuse cases","https://petition.parliament.uk/petitions/730095","open",60
"Fund cervical smear check for all 6 months after giving birth/pregnancy","https://petition.parliament.uk/petitions/730116","open",41
"Ban holiday companies from charging higher prices in the school holidays","https://petition.parliament.uk/petitions/730119","open",1359
"Replace GCSE and A-Level memory-based exams with open-book formats","https://petition.parliament.uk/petitions/730126","open",88
"Change Council Tax so its based on how many occupants live in the household","https://petition.parliament.uk/petitions/730153","open",117
"Ban all Nitrates and Nitrites in all meat products & require dry curing instead","https://petition.parliament.uk/petitions/730172","open",56
"Fund a scheme to maintain graves on local authority owned sites","https://petition.parliament.uk/petitions/730187","open",43
"Review the use of closed courts for victims of domestic/sexual violence","https://petition.parliament.uk/petitions/730191","open",38
"Do not introduce Digital ID cards","https://petition.parliament.uk/petitions/730194","open",2973924
"Add Non molestation orders to Clare's Law disclosure and DBS automatically","https://petition.parliament.uk/petitions/730196","open",67
"Fund blood donation vans for workplace visits","https://petition.parliament.uk/petitions/730197","open",64
"Ban ultra-processed (NOVA  4) foods from all school meals","https://petition.parliament.uk/petitions/730206","open",106
"Review duration of A-Level exams","https://petition.parliament.uk/petitions/730208","open",24
"Exempt students with learning disabilities from VAT on private school fees","https://petition.parliament.uk/petitions/730212","open",39
"Ban parental controls for digital devices being used involuntarily on adults","https://petition.parliament.uk/petitions/730221","open",20
"Make front number plates optional","https://petition.parliament.uk/petitions/730222","open",89
"Lower the voting age to 16 for those who sign up to the military","https://petition.parliament.uk/petitions/730250","open",18
"Require dating sites to check domestic violence convictions & ban those users","https://petition.parliament.uk/petitions/730251","open",109
"Review the SEND Tribunal so special schools can refuse placements","https://petition.parliament.uk/petitions/730266","open",120
"Fund, distribute and mandate storybooks on online safety for all school children","https://petition.parliament.uk/petitions/730271","open",105
"Require cyclists who use main roads to have an identification number plate","https://petition.parliament.uk/petitions/730274","open",94
"Ban all forms of public nudity except for emergency reasons","https://petition.parliament.uk/petitions/730288","open",25
"Change the DDA 1991 to stop breed bans and focus on behaviour","https://petition.parliament.uk/petitions/730292","open",10880
"Hold a referendum to decide if the UK should leave the ECHR.","https://petition.parliament.uk/petitions/730293","open",320
"Abolish VAT for all small businesses with a taxable turnover under £250k a year","https://petition.parliament.uk/petitions/730304","open",117
"Fund free bus travel and increase rail fare discounts for those 22 and under","https://petition.parliament.uk/petitions/730337","open",163
"Require all review sites to offer free, independent arbitration to businesses","https://petition.parliament.uk/petitions/730339","open",36
"Ban intelligence services use of public personal data for creating/training AI","https://petition.parliament.uk/petitions/730342","open",200
"Change the age of eligibility for an AM moped licence to 14","https://petition.parliament.uk/petitions/730353","open",23
"Commit to no military involvement in attacks on Iran","https://petition.parliament.uk/petitions/730360","open",111
"Allow the culling of seagulls in urban and commercial areas & prevent nesting","https://petition.parliament.uk/petitions/730367","open",119
"Government apology to India, Pakistan, and Bangladesh","https://petition.parliament.uk/petitions/730384","open",35
"Ban Scissor Traps for Moles and impose fines","https://petition.parliament.uk/petitions/730417","open",169
"Full audit of the UK gold reserves held at the Bank of England","https://petition.parliament.uk/petitions/730448","open",73
"Introduce new specific criminal offence of Adult Grooming & Exploitation","https://petition.parliament.uk/petitions/730458","open",82
